university_code,university,category,group_code,min_score,min_rank,plan_count,source,verified,has_major_details,major_name,group_name
10001,北京大学,物理,206,689,99,34,广东省教育考试院官方PDF,True,False,,
10002,中国人民大学,物理,206,679,388,3,广东省教育考试院官方PDF,True,False,,
10002,中国人民大学,物理,207,672,823,39,广东省教育考试院官方PDF,True,False,,
10003,清华大学,物理,204,688,118,67,广东省教育考试院官方PDF,True,False,,
10004,北京交通大学,物理,208,620,13967,90,广东省教育考试院官方PDF,True,False,,
10004,北京交通大学(中外合作办学),物理,209,613,18152,5,广东省教育考试院官方PDF,True,False,,
10004,北京交通大学(中外合作办学),物理,210,611,19398,3,广东省教育考试院官方PDF,True,False,,
10004,北京交通大学(中外合作办学),物理,211,617,15604,2,广东省教育考试院官方PDF,True,False,,
10004,北京交通大学,物理,212,637,7166,2,广东省教育考试院官方PDF,True,False,,
10004,北京交通大学,物理,213,633,8612,5,广东省教育考试院官方PDF,True,False,,
10005,北京工业大学,物理,205,603,24588,13,广东省教育考试院官方PDF,True,False,,
10006,北京航空航天大学(中外合作办学),物理,210,646,4469,12,广东省教育考试院官方PDF,True,False,,
10007,北京理工大学,物理,205,666,1331,42,广东省教育考试院官方PDF,True,False,,
10007,北京理工大学(中外合作办学),物理,206,632,8848,28,广东省教育考试院官方PDF,True,False,,
10008,北京科技大学,物理,212,620,14161,6,广东省教育考试院官方PDF,True,False,,
10008,北京科技大学,物理,213,619,14686,22,广东省教育考试院官方PDF,True,False,,
10008,北京科技大学,物理,214,616,16299,37,广东省教育考试院官方PDF,True,False,,
10010,北京化工大学,物理,208,609,20291,"考
59",广东省教育考试院官方PDF,True,False,,
10010,北京化工大学,物理,209,607,22003,45,广东省教育考试院官方PDF,True,False,,
10010,北京化工大学(中外合作办学),物理,210,593,32547,7,广东省教育考试院官方PDF,True,False,,
10010,北京化工大学(中外合作办学),物理,211,593,32317,12,广东省教育考试院官方PDF,True,False,,
10010,北京化工大学,物理,"育
212",612,18238,10,广东省教育考试院官方PDF,True,False,,
10011,北京工商大学,物理,204,566,60388,11,广东省教育考试院官方PDF,True,False,,
10011,北京工商大学,物理,205,558,70089,16,广东省教育考试院官方PDF,True,False,,
10012,北京服装学院,物理,207,535,104603,1,广东省教育考试院官方PDF,True,False,,
10012,"教
北京服装学院",物理,208,533,106555,4,广东省教育考试院官方PDF,True,False,,
