university_name,university_code,group_code,category,batch,subjects,plan_total,major_count,sample_majors
安徽大学,10357,213,物理,本科批,化学,5,2,"应用统计学, 数字媒体技术"
安徽大学,10357,214,物理,本科批,化学,3,1,应用物理学
安徽第二医学院,11961,503,物理,专科批,不限,5,3,"临床医学, 护理, 中药学"
安徽工程大学,10363,205,物理,本科批,化学,5,2,"高分子材料与工程, 环境工程"
安徽工程大学,10363,206,物理,本科批,化学,2,1,电气工程及其自动化
安徽工业大学,10360,207,物理,本科批,化学,14,9,"材料科学与工程, 给排水科学与工程, 机械设计制造及其自动化, 建筑环境与能源应用工程, 金属材料工程"
安徽建筑大学,10878,203,物理,本科批,不限,6,4,"建筑学, 城乡规划, 财务管理, 法学"
安徽农业大学,10364,208,物理,本科批,生物,3,1,园林
安徽中医药大学,10369,207,历史,本科批,不限,1,1,针灸推拿学
安徽中医药大学,10369,208,物理,本科批,不限,1,1,国际经济与贸易
安庆师范大学,10372,206,物理,本科批,化学,5,1,信息与计算科学
安阳工学院,11330,206,物理,本科批,化学,4,2,"土木工程, 机械电子工程"
北部湾大学,11607,218,物理,本科批,化学,12,1,电子信息工程
北方民族大学,11407,217,物理,本科批,化学,4,1,软件工程
北海艺术设计学院,13524,208,物理,本科批,不限,9,3,"哲学, 学前教育, 汉语言文学"
北海职业学院,13523,502,历史,专科批,不限,40,16,"学前教育, 小学教育, 体能训练, 现代家政服务与管理, 现代文秘"
北京大学,10001,706,历史,特殊类型招生批,不限,0,1,体育教育
北京大学,10001,707,物理,特殊类型招生批,不限,0,1,体育教育
北京第二外国语学院,10031,206,历史,本科批,不限,18,18,"日语, 日语, 泰语, 印度尼西亚语, 俄语"
北京服装学院,10012,208,物理,本科批,化学,4,1,高分子材料与工程
北京航空航天大学,10006,210,物理,本科批,化学,12,2,"工科试验班类, 工科试验班类"
北京航空航天大学,10006,704,历史,特殊类型招生批,不限,0,1,运动康复
北京航空航天大学,10006,705,物理,特殊类型招生批,不限,0,1,运动康复
北京化工大学,10010,210,物理,本科批,化学,7,2,"机械设计制造及其自动化, 工业设计"
北京化工大学,10010,211,物理,本科批,化学,11,2,"化工与制药类, 生物工程"
北京化工大学,10010,212,物理,本科批,化学,10,1,工科试验班
北京化工大学,10010,704,历史,特殊类型招生批,不限,0,1,社会体育指导与管理
北京化工大学,10010,705,物理,特殊类型招生批,不限,0,1,社会体育指导与管理
北京建筑大学,10016,203,物理,本科批,不限,2,2,"城乡规划, 环境设计"
北京交通大学,10004,209,物理,本科批,化学,5,1,机械电子工程
北京交通大学,10004,210,物理,本科批,化学,3,1,纳米材料与技术
北京交通大学,10004,211,物理,本科批,化学,2,1,交通运输
北京交通大学,10004,702,物理,特殊类型招生批,化学,1,1,土木类
北京交通大学(威海校区),19004,205,历史,本科批,不限,5,1,工商管理
北京交通大学(威海校区),19004,206,物理,本科批,不限,4,1,会计学
北京交通大学(威海校区),19004,207,物理,本科批,化学,8,2,"通信工程, 计算机科学与技术"
北京交通大学(威海校区),19004,208,物理,本科批,化学,6,1,环境工程
北京警察学院,14019,703,历史,特殊类型招生批,不限,0,1,社会体育指导与管理
北京警察学院,14019,704,物理,特殊类型招生批,不限,0,1,社会体育指导与管理
北京科技大学,10008,704,历史,特殊类型招生批,不限,0,1,体育教育
北京科技大学,10008,705,物理,特殊类型招生批,不限,0,1,体育教育
北京理工大学,10007,206,物理,本科批,化学,28,5,"航空航天工程, 能源与动力工程, 光电信息科学与工程, 自动化, 车辆工程"
北京理工大学,10007,704,历史,特殊类型招生批,不限,0,1,体育教育
北京理工大学,10007,705,物理,特殊类型招生批,不限,0,1,体育教育
北京林业大学,10022,235,物理,本科批,化学,5,2,"生物技术, 木材科学与工程"
北京师范大学,10027,211,历史,本科批,不限,14,6,"哲学, 汉语言文学, 社会学, 教育学类, 公共管理类"
北京师范大学(珠海校区),19027,701,历史,特殊类型招生批,不限,2,2,"汉语言文学, 英语"
北京体育大学,10043,217,历史,本科批,不限,8,2,"休闲体育, 旅游管理"
北京体育大学,10043,220,物理,本科批,不限,7,2,"休闲体育, 旅游管理"
北京体育大学,10043,221,物理,本科批,化学,1,1,康复物理治疗
北京外国语大学,10030,211,历史,本科批,不限,21,16,"国际经济与贸易, 法学, 汉语言文学, 英语, 英语"
北京外国语大学,10030,213,历史,本科批,政治,2,1,外交学
北京外国语大学,10030,218,物理,本科批,政治,2,1,外交学
北京外国语大学,10030,703,历史,特殊类型招生批,不限,6,6,"俄语, 朝鲜语, 菲律宾语, 僧伽罗语, 葡萄牙语"
北京外国语大学,10030,704,物理,特殊类型招生批,不限,5,5,"阿拉伯语, 菲律宾语, 豪萨语, 保加利亚语, 匈牙利语"
北京物资学院,10037,205,物理,本科批,不限,2,1,供应链管理
北京信息科技大学,11232,204,物理,本科批,化学,3,3,"机械设计制造及其自动化, 电气工程及其自动化, 数据科学与大数据技术"
北京邮电大学,10013,205,物理,本科批,化学,31,4,"电信工程及管理, 物联网工程, 电子信息工程, 智能科学与技术"
北京邮电大学,10013,206,物理,本科批,化学,8,2,"计算机类, 电子信息类"
北京邮电大学,10013,207,物理,本科批,化学,18,3,"信息与计算科学, 数字媒体技术, 智能医学工程"
北京语言大学,10032,212,历史,本科批,不限,9,1,国际经济与贸易
北京语言大学,10032,216,物理,本科批,不限,10,1,信息管理与信息系统
北京中医药大学,10026,702,物理,特殊类型招生批,化学,1,1,护理学
北京中医药大学东方学院,13899,208,历史,本科批,不限,4,4,"工商管理, 市场营销, 公共事业管理, 健康服务与管理"
北师香港浸会大学,16401,201,历史,本科批,不限,13,4,"工商管理类, 新闻传播学类, 会计学, 经济学"
