university_name,group_code,sample_major_name,suggested_majors,in_simple,auto_filled
北京大学,203,专业组203,,NO,NO
中国人民大学,202,专业组202,,NO,NO
中国人民大学,203,专业组203,,NO,NO
清华大学,202,专业组202,,NO,NO
北京交通大学,"院
202","专业组院
202",,NO,NO
北京交通大学,204,专业组204,,NO,NO
北京交通大学(中外合作办学),205,专业组205,,NO,NO
北京工业大学,201,专业组201,,NO,NO
"考
北京工业大学",202,专业组202,,NO,NO
北京工业大学,203,专业组203,,NO,NO
北京工业大学,204,专业组204,,NO,NO
"育
北京航空航天大学",202,专业组202,,NO,NO
北京航空航天大学(中外合作办学),206,专业组206,,NO,NO
北京理工大学(中外合作办学),202,专业组202,,NO,NO
"教
北京理工大学",203,专业组203,,NO,NO
北京理工大学(珠海校区),204,专业组204,,NO,NO
"省
北京科技大学",204,专业组204,,NO,NO
北京科技大学,205,专业组205,,NO,NO
北京科技大学,206,专业组206,,NO,NO
北京化工大学,202,专业组202,,NO,NO
北京化工大学,203,专业组203,,NO,NO
北京化工大学(中外合作办学),204,专业组204,,NO,NO
北京化工大学(中外合作办学),"育
205","专业组育
205",,NO,NO
北京工商大学,201,专业组201,,NO,NO
"教
北京工商大学",202,专业组202,,NO,NO
北京服装学院,202,专业组202,,NO,NO
北京服装学院,203,专业组203,,NO,NO
北京邮电大学,202,专业组202,,NO,NO
北京印刷学院,202,专业组202,,NO,NO
北京建筑大学,201,专业组201,,NO,NO
北京建筑大学,202,专业组202,,NO,NO
"广
北京建筑大学",203,专业组203,,NO,NO
北京石油化工学院,201,专业组201,,NO,NO
北京石油化工学院,202,专业组202,,NO,NO
中国农业大学,202,专业组202,,NO,NO
中国农业大学(中外合作办学),203,专业组203,,NO,NO
中国农业大学,204,专业组204,,NO,NO
北京林业大学,207,专业组207,,NO,NO
北京林业大学,208,专业组208,,NO,NO
北京林业大学,211,专业组211,,NO,NO
北京林业大学,212,专业组212,,NO,NO
北京林业大学,"广
213","专业组广
213",,NO,NO
北京林业大学,215,专业组215,,NO,NO
北京林业大学(中外合作办学),216,专业组216,,NO,NO
北京林业大学,217,专业组217,,NO,NO
北京林业大学,219,专业组219,,NO,NO
北京中医药大学,203,专业组203,,NO,NO
北京中医药大学,204,专业组204,,NO,NO
北京师范大学,204,专业组204,,NO,NO
北京师范大学,206,专业组206,,NO,NO
首都师范大学,203,专业组203,,NO,NO
首都体育学院,202,专业组202,,NO,NO
北京外国语大学,204,专业组204,,NO,NO
北京外国语大学,"院
205","专业组院
205",,NO,NO
北京外国语大学,206,专业组206,,NO,NO
北京外国语大学,207,专业组207,,NO,NO
北京语言大学,203,专业组203,,NO,NO
"考
北京语言大学",204,专业组204,,NO,NO
北京语言大学,205,专业组205,,NO,NO
北京语言大学,206,专业组206,,NO,NO
"育
中国传媒大学",204,专业组204,,NO,NO
中国传媒大学(中外合作办学),205,专业组205,,NO,NO
中国传媒大学,206,专业组206,,NO,NO
"教
中国传媒大学(中外合作办学)",207,专业组207,,NO,NO
"省
中央财经大学",202,专业组202,,NO,NO
中央财经大学(中外合作办学),203,专业组203,,NO,NO
对外经济贸易大学,203,专业组203,,NO,NO
对外经济贸易大学,204,专业组204,,NO,NO
北京物资学院,202,专业组202,,NO,NO
北京物资学院,203,专业组203,,NO,NO
首都经济贸易大学,"育
202","专业组育
202",,NO,NO
中国人民公安大学,201,专业组201,,NO,NO
"教
北京体育大学",204,专业组204,,NO,NO
北京体育大学,205,专业组205,,NO,NO
北京体育大学(中外合作办学),206,专业组206,,NO,NO
北京体育大学,208,专业组208,,NO,NO
北京体育大学,209,专业组209,,NO,NO
中央美术学院,203,专业组203,,NO,NO
中央美术学院(中外合作办学),204,专业组204,,NO,NO
"广
中央美术学院",205,专业组205,,NO,NO
中央民族大学,205,专业组205,,NO,NO
中央民族大学,206,专业组206,,NO,NO
中央民族大学(合作办学),208,专业组208,,NO,NO
中国政法大学,205,专业组205,,NO,NO
中国政法大学,"广
207","专业组广
207",,NO,NO
华北电力大学(北京),203,专业组203,,NO,NO
华北电力大学(北京),204,专业组204,,NO,NO
南开大学,202,专业组202,,NO,NO
南开大学,203,专业组203,,NO,NO
天津科技大学,203,专业组203,,NO,NO
天津科技大学(中外合作办学),204,专业组204,,NO,NO
天津科技大学,205,专业组205,,NO,NO
天津科技大学(中外合作办学),206,专业组206,,NO,NO
天津工业大学,202,专业组202,,NO,NO
天津工业大学,"院
203","专业组院
203",,NO,NO
天津工业大学,204,专业组204,,NO,NO
天津工业大学,205,专业组205,,NO,NO
天津工业大学,207,专业组207,,NO,NO
天津工业大学(中外合作办学),208,专业组208,,NO,NO
"考
中国民航大学",205,专业组205,,NO,NO
天津理工大学,201,专业组201,,NO,NO
"育
天津理工大学(中外合作办学)",202,专业组202,,NO,NO
天津理工大学,203,专业组203,,NO,NO
天津理工大学(中外合作办学),204,专业组204,,NO,NO
"教
天津农学院",201,专业组201,,NO,NO
天津农学院,202,专业组202,,NO,NO
"省
天津农学院",203,专业组203,,NO,NO
天津农学院,204,专业组204,,NO,NO
天津中医药大学,203,专业组203,,NO,NO
天津中医药大学,204,专业组204,,NO,NO
天津中医药大学,"育
207","专业组育
207",,NO,NO
"教
天津师范大学",205,专业组205,,NO,NO
天津师范大学,207,专业组207,,NO,NO
天津师范大学,208,专业组208,,NO,NO
天津师范大学,210,专业组210,,NO,NO
天津师范大学,211,专业组211,,NO,NO
天津师范大学,215,专业组215,,NO,NO
"广
天津职业技术师范大学",201,专业组201,,NO,NO
天津职业技术师范大学,202,专业组202,,NO,NO
天津外国语大学,211,专业组211,,NO,NO
天津外国语大学,212,专业组212,,NO,NO
天津商业大学,204,专业组204,,NO,NO
天津商业大学(中外合作办学),205,专业组205,,NO,NO
天津商业大学,206,专业组206,,NO,NO
天津财经大学,203,专业组203,,NO,NO
天津财经大学(中外合作办学),"广
204","专业组广
204",,NO,NO
天津财经大学,205,专业组205,,NO,NO
天津体育学院,202,专业组202,,NO,NO
河北工程大学,201,专业组201,,NO,NO
河北工程大学,202,专业组202,,NO,NO
河北工程大学,203,专业组203,,NO,NO
河北工程大学,204,专业组204,,NO,NO
河北工程大学,206,专业组206,,NO,NO
河北地质大学,202,专业组202,,NO,NO
河北地质大学,203,专业组203,,NO,NO
华北水利水电大学,201,专业组201,,NO,NO
华北水利水电大学(中外合作办学),"院
202","专业组院
202",,NO,NO
华北电力大学(保定),203,专业组203,,NO,NO
华北电力大学(保定),204,专业组204,,NO,NO
河北工业大学,202,专业组202,,NO,NO
河北工业大学,203,专业组203,,NO,NO
"考
河北工业大学",204,专业组204,,NO,NO
河北工业大学(联合培养),205,专业组205,,NO,NO
河北工业大学(联合培养),206,专业组206,,NO,NO
"育
华北理工大学(中外合作办学)",204,专业组204,,NO,NO
华北理工大学,205,专业组205,,NO,NO
华北理工大学,206,专业组206,,NO,NO
"教
华北理工大学",207,专业组207,,NO,NO
华北理工大学,208,专业组208,,NO,NO
"省
华北理工大学",211,专业组211,,NO,NO
河北医科大学,202,专业组202,,NO,NO
河北医科大学,203,专业组203,,NO,NO
河北医科大学,204,专业组204,,NO,NO
河北北方学院,201,专业组201,,NO,NO
承德医学院,201,专业组201,,NO,NO
河北师范大学,"育
202","专业组育
202",,NO,NO
河北师范大学,203,专业组203,,NO,NO
"教
河北师范大学",204,专业组204,,NO,NO
衡水学院,202,专业组202,,NO,NO
衡水学院(中外合作办学),204,专业组204,,NO,NO
邯郸学院,201,专业组201,,NO,NO
邢台学院,202,专业组202,,NO,NO
"广
石家庄铁道大学",202,专业组202,,NO,NO
石家庄铁道大学,203,专业组203,,NO,NO
石家庄铁道大学,204,专业组204,,NO,NO
山西大学,202,专业组202,,NO,NO
太原科技大学,201,专业组201,,NO,NO
中北大学,203,专业组203,,NO,NO
中北大学,204,专业组204,,NO,NO
中北大学,205,专业组205,,NO,NO
中北大学,206,专业组206,,NO,NO
中北大学,207,专业组207,,NO,NO
中北大学,"广
208","专业组广
208",,NO,NO
太原理工大学,201,专业组201,,NO,NO
山西农业大学,203,专业组203,,NO,NO
山西农业大学,204,专业组204,,NO,NO
山西农业大学,205,专业组205,,NO,NO
山西医科大学,201,专业组201,,NO,NO
山西医科大学,202,专业组202,,NO,NO
长治医学院,201,专业组201,,NO,NO
长治医学院,202,专业组202,,NO,NO
山西师范大学,202,专业组202,,NO,NO
山西师范大学,203,专业组203,,NO,NO
山西师范大学,204,专业组204,,NO,NO
山西大同大学,"院
202","专业组院
202",,NO,NO
忻州师范学院,201,专业组201,,NO,NO
忻州师范学院,202,专业组202,,NO,NO
山西财经大学,202,专业组202,,NO,NO
山西财经大学,203,专业组203,,NO,NO
"考
内蒙古大学",205,专业组205,,NO,NO
内蒙古大学,206,专业组206,,NO,NO
内蒙古大学,207,专业组207,,NO,NO
"育
内蒙古大学",208,专业组208,,NO,NO
内蒙古大学,209,专业组209,,NO,NO
内蒙古大学,210,专业组210,,NO,NO
"教
内蒙古大学",211,专业组211,,NO,NO
"省
内蒙古科技大学",203,专业组203,,NO,NO
内蒙古科技大学,204,专业组204,,NO,NO
内蒙古科技大学,205,专业组205,,NO,NO
内蒙古工业大学,201,专业组201,,NO,NO
内蒙古工业大学,202,专业组202,,NO,NO
内蒙古工业大学,203,专业组203,,NO,NO
内蒙古工业大学,"育
204","专业组育
204",,NO,NO
"教
内蒙古工业大学",206,专业组206,,NO,NO
内蒙古农业大学,202,专业组202,,NO,NO
内蒙古农业大学,203,专业组203,,NO,NO
内蒙古医科大学,201,专业组201,,NO,NO
内蒙古医科大学,202,专业组202,,NO,NO
内蒙古师范大学,203,专业组203,,NO,NO
内蒙古民族大学,202,专业组202,,NO,NO
"广
内蒙古民族大学",203,专业组203,,NO,NO
内蒙古民族大学,204,专业组204,,NO,NO
辽宁大学(中外合作办学),213,专业组213,,NO,NO
辽宁大学(中外合作办学),214,专业组214,,NO,NO
辽宁大学(中外合作办学),215,专业组215,,NO,NO
辽宁大学,216,专业组216,,NO,NO
辽宁大学(联合培养),217,专业组217,,NO,NO
大连理工大学,202,专业组202,,NO,NO
大连理工大学(中外合作办学),"广
203","专业组广
203",,NO,NO
沈阳工业大学,202,专业组202,,NO,NO
沈阳工业大学,203,专业组203,,NO,NO
