university,group_code,reason
北京大学,206,无专业组映射
北京大学,205,无专业组映射
中国人民大学,206,无专业组映射
中国人民大学,207,无专业组映射
中国人民大学,205,无专业组映射
中国人民大学,208,无专业组映射
清华大学,204,无专业组映射
清华大学,203,无专业组映射
北京交通大学,208,无专业组映射
北京交通大学,212,无专业组映射
北京交通大学,213,无专业组映射
北京交通大学,205,无专业组映射
北京交通大学,207,无专业组映射
北京交通大学(中外合作办学),209,无专业组映射
北京交通大学(中外合作办学),210,无专业组映射
北京交通大学(中外合作办学),211,无专业组映射
北京工业大学,205,无专业组映射
北京航空航天大学(中外合作办学),210,无专业组映射
北京理工大学,205,无专业组映射
北京理工大学,204,无专业组映射
北京理工大学(中外合作办学),206,无专业组映射
北京科技大学,212,无专业组映射
北京科技大学,213,无专业组映射
北京科技大学,214,无专业组映射
北京科技大学,209,无专业组映射
北京化工大学,208,无专业组映射
北京化工大学,209,无专业组映射
北京化工大学,"育
212",无专业组映射
北京化工大学(中外合作办学),210,无专业组映射
北京化工大学(中外合作办学),211,无专业组映射
北京工商大学,204,无专业组映射
北京工商大学,205,无专业组映射
北京服装学院,207,无专业组映射
北京服装学院,209,无专业组映射
北京服装学院,206,无专业组映射
"教
北京服装学院",208,无专业组映射
北京邮电大学,204,无专业组映射
北京邮电大学(中外合作办学),205,无专业组映射
北京邮电大学(中外合作办学),207,无专业组映射
"省
北京邮电大学",206,无专业组映射
北京印刷学院,206,无专业组映射
北京印刷学院,207,无专业组映射
北京印刷学院,205,无专业组映射
"东
北京建筑大学",203,无专业组映射
北京建筑大学,204,无专业组映射
北京石油化工学院,203,无专业组映射
北京石油化工学院,204,无专业组映射
"广
中国农业大学(中外合作办学)",207,无专业组映射
中国农业大学,208,无专业组映射
中国农业大学,210,无专业组映射
中国农业大学,205,无专业组映射
中国农业大学,209,无专业组映射
北京林业大学,226,无专业组映射
北京林业大学,227,无专业组映射
北京林业大学,230,无专业组映射
北京林业大学,231,无专业组映射
北京林业大学,233,无专业组映射
北京林业大学,234,无专业组映射
北京林业大学,237,无专业组映射
北京林业大学,238,无专业组映射
北京林业大学,220,无专业组映射
北京林业大学,221,无专业组映射
北京林业大学,224,无专业组映射
北京林业大学,225,无专业组映射
北京林业大学(中外合作办学),235,无专业组映射
北京中医药大学,211,无专业组映射
北京中医药大学,214,无专业组映射
北京中医药大学,208,无专业组映射
北京师范大学,213,无专业组映射
北京师范大学,215,无专业组映射
北京师范大学,"育
211",无专业组映射
北京师范大学,218,无专业组映射
首都师范大学,210,无专业组映射
首都师范大学,211,无专业组映射
首都师范大学,212,无专业组映射
首都师范大学,213,无专业组映射
首都师范大学,208,无专业组映射
首都体育学院,205,无专业组映射
首都体育学院,204,无专业组映射
北京外国语大学,214,无专业组映射
北京外国语大学,216,无专业组映射
北京外国语大学,217,无专业组映射
北京外国语大学,212,无专业组映射
北京外国语大学(中外合作办学),218,无专业组映射
北京外国语大学(中外合作办学),213,无专业组映射
北京语言大学,215,无专业组映射
北京语言大学,217,无专业组映射
北京语言大学,211,无专业组映射
北京语言大学,213,无专业组映射
北京语言大学(中外合作办学),216,无专业组映射
中国传媒大学,211,无专业组映射
中国传媒大学,213,无专业组映射
中国传媒大学,216,无专业组映射
中国传媒大学,217,无专业组映射
中国传媒大学,208,无专业组映射
中国传媒大学,209,无专业组映射
中国传媒大学,215,无专业组映射
中国传媒大学(中外合作办学),212,无专业组映射
中国传媒大学(中外合作办学),214,无专业组映射
中央财经大学,208,无专业组映射
中央财经大学,206,无专业组映射
中央财经大学(中外合作办学),"育
209",无专业组映射
中央财经大学(中外合作办学),207,无专业组映射
对外经济贸易大学,208,无专业组映射
对外经济贸易大学,209,无专业组映射
对外经济贸易大学,207,无专业组映射
对外经济贸易大学(中外合作办学),210,无专业组映射
"教
北京物资学院(中外合作办学)",205,无专业组映射
北京物资学院,206,无专业组映射
北京物资学院,204,无专业组映射
首都经济贸易大学,205,无专业组映射
首都经济贸易大学,206,无专业组映射
首都经济贸易大学,204,无专业组映射
"省
中国人民公安大学",202,无专业组映射
北京体育大学,218,无专业组映射
北京体育大学,219,无专业组映射
北京体育大学,222,无专业组映射
北京体育大学,215,无专业组映射
北京体育大学,216,无专业组映射
北京体育大学(中外合作办学),220,无专业组映射
北京体育大学(中外合作办学),217,无专业组映射
"东
北京体育大学",221,无专业组映射
中国音乐学院,204,无专业组映射
中国音乐学院,203,无专业组映射
中央美术学院,208,无专业组映射
中央美术学院,210,无专业组映射
中央美术学院,206,无专业组映射
"广
中央美术学院(中外合作办学)",209,无专业组映射
北京电影学院,211,无专业组映射
北京电影学院,212,无专业组映射
北京电影学院,213,无专业组映射
北京电影学院,214,无专业组映射
北京电影学院,215,无专业组映射
北京电影学院,201,无专业组映射
北京电影学院,202,无专业组映射
北京电影学院,203,无专业组映射
北京电影学院,208,无专业组映射
北京电影学院,210,无专业组映射
中央民族大学,220,无专业组映射
中央民族大学,222,无专业组映射
中央民族大学,216,无专业组映射
中央民族大学(内地澳门合作办学),224,无专业组映射
中国政法大学,208,无专业组映射
中国政法大学,206,无专业组映射
中国政法大学,207,无专业组映射
华北电力大学(北京),207,无专业组映射
华北电力大学(北京),208,无专业组映射
华北电力大学(北京),205,无专业组映射
南开大学,205,无专业组映射
南开大学,206,无专业组映射
南开大学,204,无专业组映射
天津大学,203,无专业组映射
天津大学,204,无专业组映射
天津大学,205,无专业组映射
天津科技大学,210,无专业组映射
天津科技大学,212,无专业组映射
天津科技大学,208,无专业组映射
天津科技大学(中外合作办学),211,无专业组映射
天津科技大学(中外合作办学),213,无专业组映射
天津科技大学(中外合作办学),209,无专业组映射
天津工业大学,213,无专业组映射
天津工业大学,214,无专业组映射
天津工业大学,215,无专业组映射
天津工业大学,"育
212",无专业组映射
天津工业大学,221,无专业组映射
天津工业大学(中外合作办学),220,无专业组映射
中国民航大学,213,无专业组映射
中国民航大学,208,无专业组映射
中国民航大学,211,无专业组映射
天津理工大学,205,无专业组映射
天津理工大学,208,无专业组映射
天津理工大学,209,无专业组映射
天津理工大学,210,无专业组映射
天津理工大学(中外合作办学),206,无专业组映射
天津理工大学(中外合作办学),211,无专业组映射
天津农学院,205,无专业组映射
天津农学院,206,无专业组映射
天津农学院,207,无专业组映射
天津农学院,"育
208",无专业组映射
天津医科大学,202,无专业组映射
天津中医药大学,207,无专业组映射
天津中医药大学,208,无专业组映射
天津中医药大学,210,无专业组映射
天津中医药大学,211,无专业组映射
天津中医药大学,206,无专业组映射
"教
天津中医药大学",209,无专业组映射
"教
天津中医药大学",205,无专业组映射
天津师范大学,218,无专业组映射
天津师范大学,220,无专业组映射
天津师范大学,221,无专业组映射
天津师范大学,222,无专业组映射
天津师范大学,224,无专业组映射
天津师范大学,225,无专业组映射
天津师范大学,226,无专业组映射
天津师范大学,216,无专业组映射
天津师范大学,217,无专业组映射
"省
天津师范大学",219,无专业组映射
"东
天津师范大学",223,无专业组映射
"广
天津职业技术师范大学",203,无专业组映射
天津职业技术师范大学,204,无专业组映射
天津外国语大学,206,无专业组映射
天津外国语大学,207,无专业组映射
天津外国语大学,208,无专业组映射
天津外国语大学,210,无专业组映射
天津外国语大学,202,无专业组映射
天津外国语大学,203,无专业组映射
天津外国语大学(中外合作办学),209,无专业组映射
天津外国语大学(中外合作办学),205,无专业组映射
天津商业大学,213,无专业组映射
天津商业大学,214,无专业组映射
天津商业大学,216,无专业组映射
天津商业大学,209,无专业组映射
天津商业大学,210,无专业组映射
天津商业大学(中外合作办学),215,无专业组映射
天津商业大学(中外合作办学),212,无专业组映射
天津财经大学,209,无专业组映射
天津财经大学,211,无专业组映射
天津财经大学,212,无专业组映射
天津财经大学,207,无专业组映射
天津财经大学(中外合作办学),210,无专业组映射
天津财经大学(中外合作办学),208,无专业组映射
天津体育学院,211,无专业组映射
